provider,flow,area,source,product,frequency,unit,detail,series_id,description,name
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOORO_YIY_R30_MBBLD.M,PET.M_EPOORO_YIY_R30_MBBLD.M,"PADD 3 Refinery Net Input of Other Renewable Fuels, Monthly","PADD 3 Refinery Net Input of Other Renewable Fuels, Monthly"
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOOOXH_YIY_R30_MBBLD.M,PET.M_EPOOOXH_YIY_R30_MBBLD.M,"PADD 3 Refinery Net Input of Other Hydrocarbons, Monthly","PADD 3 Refinery Net Input of Other Hydrocarbons, Monthly"
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOUN_YIY_R30_2.M,PET.M_EPOUN_YIY_R30_2.M,"PADD 3 Refinery Net Input of Naphthas and Lighter, Monthly","PADD 3 Refinery Net Input of Naphthas and Lighter, Monthly"
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOUK_YIY_R30_2.M,PET.M_EPOUK_YIY_R30_2.M,"PADD 3 Refinery Net Input of Kerosene and Light Oils, Monthly ","PADD 3 Refinery Net Input of Kerosene and Light Oils, Monthly "
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOUH_YIY_R30_2.M,PET.M_EPOUH_YIY_R30_2.M,"PADD 3 Refinery Net Input of Heavy Gas Oils, Monthly","PADD 3 Refinery Net Input of Heavy Gas Oils, Monthly"
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOUR_YIY_R30_2.M,PET.M_EPOUR_YIY_R30_2.M,"PADD 3 Refinery Net Input of Residuum, Monthly","PADD 3 Refinery Net Input of Residuum, Monthly"
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOBG_YIY_R30_2.M,PET.M_EPOBG_YIY_R30_2.M,"PADD 3 Refinery Net Input of Gasoline Blending Components, Monthly","PADD 3 Refinery Net Input of Gasoline Blending Components, Monthly"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPL0_YIB_R30_MBBLD.M,PET.M_EPL0_YIB_R30_MBBLD.M,"PADD 3 Blender Net Input of Hydrocarbon Gas Liquids, Monthly ","PADD 3 Blender Net Input of Hydrocarbon Gas Liquids, Monthly "
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOOXE_YIB_R30_2.M,PET.M_EPOOXE_YIB_R30_2.M,"PADD 3 Blender Net Input of Fuel Ethanol, Monthly","PADD 3 Blender Net Input of Fuel Ethanol, Monthly"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOORD_YIB_R30_MBBLD.M,PET.M_EPOORD_YIB_R30_MBBLD.M,"PADD 3 Blender Net Input of Renewable Diesel Fuel, Monthly","PADD 3 Blender Net Input of Renewable Diesel Fuel, Monthly"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOBG_YIB_R30_2.M,PET.M_EPOBG_YIB_R30_2.M,"PADD 3 Blender Net Input of Gasoline Blending Components, Monthly","PADD 3 Blender Net Input of Gasoline Blending Components, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,CRUDEOIL,Monthly,KBD,PET.MTTRX_R30_2.M,PET.MTTRX_R30_2.M,"PADD 3 Refinery Net Production of Crude Oil and Petroleum Products, Monthly","PADD 3 Refinery Net Production of Crude Oil and Petroleum Products, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MLPRX_R30_2.M,PET.MLPRX_R30_2.M,"PADD 3 Refinery Net Production of Liquified Petroleum Gases, Monthly","PADD 3 Refinery Net Production of Liquified Petroleum Gases, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MPLRX_R30_2.M,PET.MPLRX_R30_2.M,"PADD 3 Refinery Net Production of Propylene, Monthly","PADD 3 Refinery Net Production of Propylene, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MGFRX_R30_2.M,PET.MGFRX_R30_2.M,"PADD 3 Refinery Net Production of Finished Motor Gasoline, Monthly","PADD 3 Refinery Net Production of Finished Motor Gasoline, Monthly"
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MKJRX_R30_2.M,PET.MKJRX_R30_2.M,"PADD 3 Refinery Net Production of Kerosene-Type Jet Fuel, Monthly","PADD 3 Refinery Net Production of Kerosene-Type Jet Fuel, Monthly"
